sample	patient	celltype1	celltype2	Tumor
PD10_ZZM_TP10_100_20170411	P0411	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP10_49_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_66_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP9_188_20170411	P0411	Myeloid	hM02_pDC_LILRA4	nonTumor
PD10_ZZM_TP10_109_20170411	P0411	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP10_43_20170411	P0411	Myeloid	hM02_pDC_LILRA4	nonTumor
PD10_ZZM_TP10_85_20170411	P0411	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP10_104_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_1_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_31_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_54_20170411	P0411	Myeloid	hM04_cDC1_BATF3	nonTumor
PD10_ZZM_TP9_93_20170411	P0411	Myeloid	hM02_pDC_LILRA4	nonTumor
PD10_ZZM_TP10_74_20170411	P0411	Myeloid	hM01_Mast_TPSAB1	nonTumor
PD10_ZZM_TP10_32_20170411	P0411	Myeloid	hM08_Macro_NLRP3	nonTumor
PD10_ZZM_TP10_174_20170411	P0411	Myeloid	hM12_TAM_C1QC	nonTumor
PD10_ZZM_TP10_21_20170411	P0411	Myeloid	hM03_cDC2_CD1C	nonTumor
PD10_ZZM_TP9_69_20170411	P0411	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_PP8_35_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_56_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_67_20170411	P0411	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_PP8_27_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PP8_290_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_136_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_87_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PP8_323_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_33_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_21_20170411	P0411	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_PP8_42_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_40_20170411	P0411	ILC	hI02_NK_GZMK	nonTumor
PD10_ZZM_TP9_51_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PP8_39_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_43_20170411	P0411	ILC	hI04_ILC3_SLC4A10	nonTumor
PD10_ZZM_PP8_9_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_PP8_91_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_5_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP9_187_20170411	P0411	ILC	hI01_NK_CD16	nonTumor
PD10_ZZM_TP5_101_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_145_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_146_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_157_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_160_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_17_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_19_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_33_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_35_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_37_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_43_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_45_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_55_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_70_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_72_20170411	P0411	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TP5_74_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_88_20170411	P0411	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TP5_165_20170411	P0411	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_148_20170411	P0411	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_108_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_191_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_91_20170411	P0411	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_175_20170411	P0411	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_187_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_28_20170411	P0411	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5_44_20170411	P0411	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_56_20170411	P0411	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TP5_97_20170411	P0411	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP5_173_20170411	P0411	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_21_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_123_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_57_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_39_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_84_20170411	P0411	Epithelial	hE05_Stemlike_LGR5	nonTumor
PD10_ZZM_TP5_185_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_155_20170411	P0411	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TP5_104_20170411	P0411	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TP9_55_20170411	P0411	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP9_85_20170411	P0411	CD8T	hT15_CD8_GZMK	nonTumor
PD10_ZZM_TP9_83_20170411	P0411	CD4T	hT11_CD4_CTLA4	nonTumor
PD10_ZZM_TP9_17_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_84_20170411	P0411	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_TP9_64_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_PP8_23_20170411	P0411	B	hB03_FollicularB_IgD	nonTumor
PD10_ZZM_TP9_191_20170411	P0411	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_TP9_6_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_4_20170411	P0411	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP9_30_20170411	P0411	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP10_116_20170411	P0411	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP9_179_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_32_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_96_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_183_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_53_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_112_20170411	P0411	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP9_90_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_170_20170411	P0411	B	hB02_GALTB_IgA	nonTumor
PD10_ZZM_TP9_2_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_110_20170411	P0411	B	hB04_FollicularB_MS4A1	nonTumor
PD10_ZZM_TP9_27_20170411	P0411	B	hB01_PlasmaB_IgG	nonTumor
PD10_ZZM_TCD45n_111_20180104	P0104	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_112_20180104	P0104	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_193_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_226_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_233_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_244_20180104	P0104	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_294_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_298_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_306_20180104	P0104	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_346_20180104	P0104	Fibroblast	hF01_Myofib_ACTA2	nonTumor
PD10_ZZM_TCD45n_348_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_353_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_44_20180104	P0104	Fibroblast	hF02_CAF_FAP	nonTumor
PD10_ZZM_TCD45n_355_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_172_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_32_20180104	P0104	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TCD45n_247_20180104	P0104	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TCD45n_222_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_329_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_343_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_239_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_28_20180104	P0104	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_189_20180104	P0104	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_186_20180104	P0104	Epithelial	hE04_Goblet_REG4	nonTumor
PD10_ZZM_TCD45n_250_20180104	P0104	Epithelial	hE01_Endothelium_ACKR1	nonTumor
PD10_ZZM_TCD45n_303_20180104	P0104	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_360_20180104	P0104	Epithelial	hE06_UnIdent	nonTumor
PD10_ZZM_TCD45n_334_20180104	P0104	Epithelial	hE03_Goblet_SPINK4	nonTumor
PD10_ZZM_TCD45n_185_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_37_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_60_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_3_20180104	P0104	Epithelial	hE02_Enterocyte_GUCA2B	nonTumor
PD10_ZZM_TCD45n_153_20180104	P0104	Epithelial	hE03_Goblet_SPINK4	nonTumor
